city,year,weekofyear,total_cases
sj,2008,18,4
sj,2008,19,27
sj,2008,20,2
sj,2008,21,18
sj,2008,22,20
sj,2008,23,6
sj,2008,24,4
sj,2008,25,25
sj,2008,26,20
sj,2008,27,10
sj,2008,28,24
sj,2008,29,74
sj,2008,30,13
sj,2008,31,28
sj,2008,32,52
sj,2008,33,19
sj,2008,34,21
sj,2008,35,38
sj,2008,36,45
sj,2008,37,19
sj,2008,38,40
sj,2008,39,15
sj,2008,40,38
sj,2008,41,24
sj,2008,42,44
sj,2008,43,15
sj,2008,44,34
sj,2008,45,48
sj,2008,46,50
sj,2008,47,41
sj,2008,48,50
sj,2008,49,29
sj,2008,50,14
sj,2008,51,31
sj,2008,52,29
sj,2009,1,50
sj,2009,2,18
sj,2009,3,39
sj,2009,4,28
sj,2009,5,27
sj,2009,6,9
sj,2009,7,20
sj,2009,8,10
sj,2009,9,8
sj,2009,10,4
sj,2009,11,10
sj,2009,12,2
sj,2009,13,4
sj,2009,14,4
sj,2009,15,6
sj,2009,16,4
sj,2009,17,12
sj,2009,18,19
sj,2009,19,3
sj,2009,20,17
sj,2009,21,2
sj,2009,22,4
sj,2009,23,7
sj,2009,24,5
sj,2009,25,6
sj,2009,26,24
sj,2009,27,21
sj,2009,28,29
sj,2009,29,25
sj,2009,30,43
sj,2009,31,26
sj,2009,32,22
sj,2009,33,64
sj,2009,34,37
sj,2009,35,35
sj,2009,36,33
sj,2009,37,52
sj,2009,38,32
sj,2009,39,69
sj,2009,40,137
sj,2009,41,145
sj,2009,42,72
sj,2009,43,39
sj,2009,44,69
sj,2009,45,35
sj,2009,46,7
sj,2009,47,39
sj,2009,48,41
sj,2009,49,31
sj,2009,50,46
sj,2009,51,43
sj,2009,52,29
sj,2010,53,225
sj,2010,1,32
sj,2010,2,19
sj,2010,3,12
sj,2010,4,52
sj,2010,5,19
sj,2010,6,4
sj,2010,7,13
sj,2010,8,7
sj,2010,9,22
sj,2010,10,16
sj,2010,11,6
sj,2010,12,7
sj,2010,13,2
sj,2010,14,4
sj,2010,15,5
sj,2010,16,2
sj,2010,17,14
sj,2010,18,18
sj,2010,19,4
sj,2010,20,7
sj,2010,21,7
sj,2010,22,11
sj,2010,23,18
sj,2010,24,10
sj,2010,25,16
sj,2010,26,20
sj,2010,27,11
sj,2010,28,50
sj,2010,29,8
sj,2010,30,17
sj,2010,31,28
sj,2010,32,114
sj,2010,33,47
sj,2010,34,69
sj,2010,35,30
sj,2010,36,97
sj,2010,37,25
sj,2010,38,39
sj,2010,39,39
sj,2010,40,58
sj,2010,41,31
sj,2010,42,32
sj,2010,43,19
sj,2010,44,35
sj,2010,45,50
sj,2010,46,28
sj,2010,47,14
sj,2010,48,16
sj,2010,49,3
sj,2010,50,9
sj,2010,51,33
sj,2011,52,43
sj,2011,1,10
sj,2011,2,76
sj,2011,3,18
sj,2011,4,36
sj,2011,5,59
sj,2011,6,12
sj,2011,7,6
sj,2011,8,13
sj,2011,9,4
sj,2011,10,12
sj,2011,11,10
sj,2011,12,6
sj,2011,13,11
sj,2011,14,21
sj,2011,15,20
sj,2011,16,17
sj,2011,17,7
sj,2011,18,9
sj,2011,19,27
sj,2011,20,5
sj,2011,21,7
sj,2011,22,6
sj,2011,23,7
sj,2011,24,28
sj,2011,25,13
sj,2011,26,42
sj,2011,27,24
sj,2011,28,10
sj,2011,29,17
sj,2011,30,16
sj,2011,31,17
sj,2011,32,20
sj,2011,33,30
sj,2011,34,30
sj,2011,35,20
sj,2011,36,39
sj,2011,37,86
sj,2011,38,15
sj,2011,39,38
sj,2011,40,46
sj,2011,41,25
sj,2011,42,37
sj,2011,43,32
sj,2011,44,57
sj,2011,45,56
sj,2011,46,30
sj,2011,47,39
sj,2011,48,16
sj,2011,49,9
sj,2011,50,67
sj,2011,51,56
sj,2012,52,23
sj,2012,1,22
sj,2012,2,18
sj,2012,3,6
sj,2012,4,29
sj,2012,5,15
sj,2012,6,7
sj,2012,7,12
sj,2012,8,19
sj,2012,9,11
sj,2012,10,7
sj,2012,11,14
sj,2012,12,6
sj,2012,13,3
sj,2012,14,12
sj,2012,15,12
sj,2012,16,20
sj,2012,17,6
sj,2012,18,14
sj,2012,19,3
sj,2012,20,7
sj,2012,21,3
sj,2012,22,19
sj,2012,23,10
sj,2012,24,14
sj,2012,25,88
sj,2012,26,60
sj,2012,27,24
sj,2012,28,16
sj,2012,29,31
sj,2012,30,35
sj,2012,31,11
sj,2012,32,23
sj,2012,33,36
sj,2012,34,55
sj,2012,35,28
sj,2012,36,32
sj,2012,37,55
sj,2012,38,45
sj,2012,39,127
sj,2012,40,55
sj,2012,41,63
sj,2012,42,33
sj,2012,43,35
sj,2012,44,59
sj,2012,45,96
sj,2012,46,95
sj,2012,47,61
sj,2012,48,53
sj,2012,49,41
sj,2012,50,37
sj,2012,51,29
sj,2013,1,14
sj,2013,2,7
sj,2013,3,5
sj,2013,4,15
sj,2013,5,24
sj,2013,6,10
sj,2013,7,34
sj,2013,8,6
sj,2013,9,8
sj,2013,10,11
sj,2013,11,19
sj,2013,12,10
sj,2013,13,11
sj,2013,14,5
sj,2013,15,4
sj,2013,16,3
sj,2013,17,3
iq,2010,26,2
iq,2010,27,4
iq,2010,28,0
iq,2010,29,1
iq,2010,30,3
iq,2010,31,2
iq,2010,32,0
iq,2010,33,4
iq,2010,34,4
iq,2010,35,1
