city,year,weekofyear,total_cases
sj,2008,18,24
sj,2008,19,24
sj,2008,20,24
sj,2008,21,24
sj,2008,22,24
sj,2008,23,24
sj,2008,24,24
sj,2008,25,24
sj,2008,26,24
sj,2008,27,24
sj,2008,28,24
sj,2008,29,24
sj,2008,30,24
sj,2008,31,24
sj,2008,32,24
sj,2008,33,24
sj,2008,34,24
sj,2008,35,24
sj,2008,36,24
sj,2008,37,24
sj,2008,38,24
sj,2008,39,24
sj,2008,40,24
sj,2008,41,24
sj,2008,42,24
sj,2008,43,24
sj,2008,44,24
sj,2008,45,24
sj,2008,46,24
sj,2008,47,24
sj,2008,48,20
sj,2008,49,20
sj,2008,50,24
sj,2008,51,24
sj,2008,52,24
sj,2009,1,24
sj,2009,2,24
sj,2009,3,24
sj,2009,4,24
sj,2009,5,24
sj,2009,6,24
sj,2009,7,24
sj,2009,8,24
sj,2009,9,24
sj,2009,10,24
sj,2009,11,24
sj,2009,12,24
sj,2009,13,24
sj,2009,14,24
sj,2009,15,24
sj,2009,16,24
sj,2009,17,24
sj,2009,18,24
sj,2009,19,24
sj,2009,20,24
sj,2009,21,24
sj,2009,22,24
sj,2009,23,24
sj,2009,24,24
sj,2009,25,24
sj,2009,26,24
sj,2009,27,24
sj,2009,28,20
sj,2009,29,20
sj,2009,30,24
sj,2009,31,24
sj,2009,32,24
sj,2009,33,24
sj,2009,34,24
sj,2009,35,24
sj,2009,36,24
sj,2009,37,24
sj,2009,38,24
sj,2009,39,24
sj,2009,40,24
sj,2009,41,24
sj,2009,42,24
sj,2009,43,24
sj,2009,44,24
sj,2009,45,24
sj,2009,46,24
sj,2009,47,24
sj,2009,48,24
sj,2009,49,24
sj,2009,50,24
sj,2009,51,24
sj,2009,52,24
sj,2010,53,24
sj,2010,1,24
sj,2010,2,24
sj,2010,3,24
sj,2010,4,24
sj,2010,5,24
sj,2010,6,24
sj,2010,7,20
sj,2010,8,20
sj,2010,9,24
sj,2010,10,24
sj,2010,11,24
sj,2010,12,24
sj,2010,13,24
sj,2010,14,24
sj,2010,15,24
sj,2010,16,24
sj,2010,17,24
sj,2010,18,24
sj,2010,19,24
sj,2010,20,24
sj,2010,21,24
sj,2010,22,24
sj,2010,23,24
sj,2010,24,24
sj,2010,25,24
sj,2010,26,24
sj,2010,27,24
sj,2010,28,24
sj,2010,29,24
sj,2010,30,24
sj,2010,31,24
sj,2010,32,24
sj,2010,33,24
sj,2010,34,24
sj,2010,35,24
sj,2010,36,24
sj,2010,37,24
sj,2010,38,24
sj,2010,39,20
sj,2010,40,20
sj,2010,41,24
sj,2010,42,24
sj,2010,43,24
sj,2010,44,24
sj,2010,45,24
sj,2010,46,24
sj,2010,47,24
sj,2010,48,24
sj,2010,49,24
sj,2010,50,24
sj,2010,51,24
sj,2011,52,24
sj,2011,1,24
sj,2011,2,24
sj,2011,3,24
sj,2011,4,24
sj,2011,5,24
sj,2011,6,24
sj,2011,7,24
sj,2011,8,24
sj,2011,9,24
sj,2011,10,24
sj,2011,11,24
sj,2011,12,24
sj,2011,13,24
sj,2011,14,24
sj,2011,15,24
sj,2011,16,24
sj,2011,17,24
sj,2011,18,24
sj,2011,19,20
sj,2011,20,20
sj,2011,21,24
sj,2011,22,24
sj,2011,23,24
sj,2011,24,24
sj,2011,25,24
sj,2011,26,24
sj,2011,27,24
sj,2011,28,24
sj,2011,29,24
sj,2011,30,24
sj,2011,31,24
sj,2011,32,24
sj,2011,33,24
sj,2011,34,24
sj,2011,35,24
sj,2011,36,24
sj,2011,37,24
sj,2011,38,24
sj,2011,39,24
sj,2011,40,24
sj,2011,41,24
sj,2011,42,24
sj,2011,43,24
sj,2011,44,24
sj,2011,45,24
sj,2011,46,24
sj,2011,47,24
sj,2011,48,24
sj,2011,49,24
sj,2011,50,24
sj,2011,51,20
sj,2012,52,20
sj,2012,1,24
sj,2012,2,24
sj,2012,3,24
sj,2012,4,24
sj,2012,5,24
sj,2012,6,24
sj,2012,7,24
sj,2012,8,24
sj,2012,9,24
sj,2012,10,24
sj,2012,11,24
sj,2012,12,24
sj,2012,13,24
sj,2012,14,24
sj,2012,15,24
sj,2012,16,24
sj,2012,17,24
sj,2012,18,24
sj,2012,19,24
sj,2012,20,24
sj,2012,21,24
sj,2012,22,24
sj,2012,23,24
sj,2012,24,24
sj,2012,25,24
sj,2012,26,24
sj,2012,27,24
sj,2012,28,24
sj,2012,29,24
sj,2012,30,24
sj,2012,31,20
sj,2012,32,20
sj,2012,33,24
sj,2012,34,24
sj,2012,35,24
sj,2012,36,24
sj,2012,37,24
sj,2012,38,24
sj,2012,39,24
sj,2012,40,24
sj,2012,41,24
sj,2012,42,24
sj,2012,43,24
sj,2012,44,24
sj,2012,45,24
sj,2012,46,24
sj,2012,47,24
sj,2012,48,24
sj,2012,49,24
sj,2012,50,24
sj,2012,51,24
sj,2013,1,24
sj,2013,2,24
sj,2013,3,24
sj,2013,4,24
sj,2013,5,24
sj,2013,6,24
sj,2013,7,24
sj,2013,8,24
sj,2013,9,24
sj,2013,10,24
sj,2013,11,24
sj,2013,12,20
sj,2013,13,20
sj,2013,14,24
sj,2013,15,24
sj,2013,16,24
sj,2013,17,24
iq,2010,26,24
iq,2010,27,24
iq,2010,28,24
iq,2010,29,24
iq,2010,30,24
iq,2010,31,24
iq,2010,32,24
iq,2010,33,24
iq,2010,34,24
iq,2010,35,24
iq,2010,36,24
iq,2010,37,24
iq,2010,38,24
iq,2010,39,24
