city,year,weekofyear,total_cases
sj,2008,18,7
sj,2008,19,6
sj,2008,20,11
sj,2008,21,14
sj,2008,22,11
sj,2008,23,12
sj,2008,24,9
sj,2008,25,12
sj,2008,26,13
sj,2008,27,15
sj,2008,28,14
sj,2008,29,16
sj,2008,30,20
sj,2008,31,20
sj,2008,32,31
sj,2008,33,49
sj,2008,34,23
sj,2008,35,27
sj,2008,36,92
sj,2008,37,47
sj,2008,38,28
sj,2008,39,25
sj,2008,40,60
sj,2008,41,33
sj,2008,42,44
sj,2008,43,31
sj,2008,44,33
sj,2008,45,28
sj,2008,46,26
sj,2008,47,28
sj,2008,48,31
sj,2008,49,39
sj,2008,50,29
sj,2008,51,50
sj,2008,52,22
sj,2009,1,23
sj,2009,2,18
sj,2009,3,24
sj,2009,4,20
sj,2009,5,31
sj,2009,6,12
sj,2009,7,18
sj,2009,8,17
sj,2009,9,13
sj,2009,10,10
sj,2009,11,11
sj,2009,12,10
sj,2009,13,9
sj,2009,14,10
sj,2009,15,8
sj,2009,16,7
sj,2009,17,9
sj,2009,18,9
sj,2009,19,8
sj,2009,20,10
sj,2009,21,9
sj,2009,22,11
sj,2009,23,9
sj,2009,24,12
sj,2009,25,13
sj,2009,26,12
sj,2009,27,14
sj,2009,28,18
sj,2009,29,15
sj,2009,30,18
sj,2009,31,25
sj,2009,32,33
sj,2009,33,29
sj,2009,34,38
sj,2009,35,49
sj,2009,36,62
sj,2009,37,27
sj,2009,38,47
sj,2009,39,45
sj,2009,40,59
sj,2009,41,59
sj,2009,42,65
sj,2009,43,25
sj,2009,44,54
sj,2009,45,45
sj,2009,46,34
sj,2009,47,52
sj,2009,48,36
sj,2009,49,26
sj,2009,50,28
sj,2009,51,41
sj,2009,52,55
sj,2010,53,20
sj,2010,1,34
sj,2010,2,21
sj,2010,3,34
sj,2010,4,22
sj,2010,5,18
sj,2010,6,15
sj,2010,7,15
sj,2010,8,19
sj,2010,9,16
sj,2010,10,16
sj,2010,11,11
sj,2010,12,12
sj,2010,13,12
sj,2010,14,10
sj,2010,15,7
sj,2010,16,7
sj,2010,17,15
sj,2010,18,9
sj,2010,19,11
sj,2010,20,13
sj,2010,21,10
sj,2010,22,30
sj,2010,23,31
sj,2010,24,30
sj,2010,25,30
sj,2010,26,37
sj,2010,27,43
sj,2010,28,29
sj,2010,29,33
sj,2010,30,33
sj,2010,31,38
sj,2010,32,58
sj,2010,33,53
sj,2010,34,73
sj,2010,35,81
sj,2010,36,102
sj,2010,37,57
sj,2010,38,32
sj,2010,39,31
sj,2010,40,34
sj,2010,41,58
sj,2010,42,29
sj,2010,43,41
sj,2010,44,34
sj,2010,45,38
sj,2010,46,42
sj,2010,47,39
sj,2010,48,26
sj,2010,49,27
sj,2010,50,24
sj,2010,51,23
sj,2011,52,37
sj,2011,1,23
sj,2011,2,35
sj,2011,3,23
sj,2011,4,23
sj,2011,5,19
sj,2011,6,16
sj,2011,7,13
sj,2011,8,13
sj,2011,9,15
sj,2011,10,10
sj,2011,11,11
sj,2011,12,9
sj,2011,13,12
sj,2011,14,11
sj,2011,15,7
sj,2011,16,10
sj,2011,17,6
sj,2011,18,10
sj,2011,19,10
sj,2011,20,14
sj,2011,21,12
sj,2011,22,16
sj,2011,23,15
sj,2011,24,32
sj,2011,25,30
sj,2011,26,21
sj,2011,27,34
sj,2011,28,31
sj,2011,29,16
sj,2011,30,34
sj,2011,31,24
sj,2011,32,74
sj,2011,33,26
sj,2011,34,128
sj,2011,35,46
sj,2011,36,36
sj,2011,37,35
sj,2011,38,34
sj,2011,39,27
sj,2011,40,40
sj,2011,41,40
sj,2011,42,35
sj,2011,43,28
sj,2011,44,32
sj,2011,45,28
sj,2011,46,33
sj,2011,47,35
sj,2011,48,46
sj,2011,49,40
sj,2011,50,75
sj,2011,51,27
sj,2012,52,35
sj,2012,1,26
sj,2012,2,22
sj,2012,3,22
sj,2012,4,22
sj,2012,5,18
sj,2012,6,18
sj,2012,7,12
sj,2012,8,17
sj,2012,9,11
sj,2012,10,11
sj,2012,11,13
sj,2012,12,8
sj,2012,13,9
sj,2012,14,12
sj,2012,15,8
sj,2012,16,13
sj,2012,17,9
sj,2012,18,13
sj,2012,19,12
sj,2012,20,15
sj,2012,21,11
sj,2012,22,9
sj,2012,23,12
sj,2012,24,13
sj,2012,25,21
sj,2012,26,19
sj,2012,27,14
sj,2012,28,16
sj,2012,29,17
sj,2012,30,32
sj,2012,31,19
sj,2012,32,29
sj,2012,33,47
sj,2012,34,29
sj,2012,35,30
sj,2012,36,33
sj,2012,37,63
sj,2012,38,55
sj,2012,39,45
sj,2012,40,38
sj,2012,41,31
sj,2012,42,44
sj,2012,43,36
sj,2012,44,42
sj,2012,45,58
sj,2012,46,41
sj,2012,47,37
sj,2012,48,28
sj,2012,49,32
sj,2012,50,33
sj,2012,51,24
sj,2013,1,26
sj,2013,2,24
sj,2013,3,18
sj,2013,4,17
sj,2013,5,23
sj,2013,6,18
sj,2013,7,16
sj,2013,8,13
sj,2013,9,11
sj,2013,10,16
sj,2013,11,13
sj,2013,12,8
sj,2013,13,11
sj,2013,14,12
sj,2013,15,10
sj,2013,16,9
sj,2013,17,10
iq,2010,26,5
iq,2010,27,3
iq,2010,28,6
iq,2010,29,4
iq,2010,30,3
iq,2010,31,3
iq,2010,32,4
iq,2010,33,2
iq,2010,34,2
iq,2010,35,5
iq,2010,36,4
iq,2010,37,3
iq,2010,38,6
iq,2010,39,5
iq,2010,40,8
iq,2010,41,5
iq,2010,42,8
iq,2010,43,9
iq,2010,44,8
iq,2010,45,10
iq,2010,46,11
iq,2010,47,10
iq,2010,48,9
iq,2010,49,8
iq,2010,50,14
iq,2010,51,9
iq,2011,52,18
iq,2011,1,13
iq,2011,2,11
iq,2011,3,9
iq,2011,4,9
iq,2011,5,9
iq,2011,6,9
iq,2011,7,13
iq,2011,8,10
iq,2011,9,12
iq,2011,10,6
iq,2011,11,7
iq,2011,12,8
iq,2011,13,8
iq,2011,14,6
iq,2011,15,7
iq,2011,16,6
iq,2011,17,7
iq,2011,18,6
iq,2011,19,3
iq,2011,20,4
iq,2011,21,7
iq,2011,22,4
iq,2011,23,4
iq,2011,24,4
iq,2011,25,4
iq,2011,26,4
iq,2011,27,4
iq,2011,28,3
iq,2011,29,2
iq,2011,30,2
iq,2011,31,3
iq,2011,32,2
iq,2011,33,2
iq,2011,34,2
iq,2011,35,2
iq,2011,36,2
iq,2011,37,3
iq,2011,38,4
iq,2011,39,4
iq,2011,40,3
iq,2011,41,5
iq,2011,42,7
iq,2011,43,9
iq,2011,44,7
iq,2011,45,10
iq,2011,46,11
iq,2011,47,10
iq,2011,48,7
iq,2011,49,12
iq,2011,50,14
iq,2011,51,16
iq,2012,52,9
iq,2012,1,14
iq,2012,2,9
iq,2012,3,10
iq,2012,4,5
iq,2012,5,8
iq,2012,6,13
iq,2012,7,9
iq,2012,8,9
iq,2012,9,5
iq,2012,10,6
iq,2012,11,3
iq,2012,12,3
iq,2012,13,6
iq,2012,14,5
iq,2012,15,7
iq,2012,16,8
iq,2012,17,7
iq,2012,18,4
iq,2012,19,3
iq,2012,20,6
iq,2012,21,3
iq,2012,22,3
iq,2012,23,4
iq,2012,24,4
iq,2012,25,3
iq,2012,26,2
iq,2012,27,3
iq,2012,28,3
iq,2012,29,4
iq,2012,30,4
iq,2012,31,3
iq,2012,32,3
iq,2012,33,4
iq,2012,34,5
iq,2012,35,3
iq,2012,36,4
iq,2012,37,4
iq,2012,38,4
iq,2012,39,6
iq,2012,40,8
iq,2012,41,7
iq,2012,42,8
iq,2012,43,11
iq,2012,44,9
iq,2012,45,10
iq,2012,46,11
iq,2012,47,15
iq,2012,48,9
iq,2012,49,7
iq,2012,50,10
iq,2012,51,8
iq,2013,1,9
iq,2013,2,9
iq,2013,3,9
iq,2013,4,10
iq,2013,5,13
iq,2013,6,9
iq,2013,7,10
iq,2013,8,10
iq,2013,9,8
iq,2013,10,7
iq,2013,11,8
iq,2013,12,11
iq,2013,13,8
iq,2013,14,7
iq,2013,15,5
iq,2013,16,6
iq,2013,17,7
iq,2013,18,3
iq,2013,19,6
iq,2013,20,5
iq,2013,21,3
iq,2013,22,4
iq,2013,23,3
iq,2013,24,2
iq,2013,25,3
iq,2013,26,3
