city,year,weekofyear,total_cases
sj,2008,18,8
sj,2008,19,4
sj,2008,20,9
sj,2008,21,7
sj,2008,22,12
sj,2008,23,15
sj,2008,24,13
sj,2008,25,8
sj,2008,26,22
sj,2008,27,13
sj,2008,28,22
sj,2008,29,26
sj,2008,30,26
sj,2008,31,35
sj,2008,32,53
sj,2008,33,28
sj,2008,34,45
sj,2008,35,29
sj,2008,36,51
sj,2008,37,51
sj,2008,38,38
sj,2008,39,26
sj,2008,40,29
sj,2008,41,40
sj,2008,42,28
sj,2008,43,28
sj,2008,44,24
sj,2008,45,24
sj,2008,46,27
sj,2008,47,30
sj,2008,48,29
sj,2008,49,16
sj,2008,50,11
sj,2008,51,20
sj,2008,52,12
sj,2009,1,17
sj,2009,2,14
sj,2009,3,15
sj,2009,4,16
sj,2009,5,15
sj,2009,6,13
sj,2009,7,12
sj,2009,8,12
sj,2009,9,11
sj,2009,10,11
sj,2009,11,1
sj,2009,12,6
sj,2009,13,6
sj,2009,14,5
sj,2009,15,6
sj,2009,16,6
sj,2009,17,6
sj,2009,18,6
sj,2009,19,7
sj,2009,20,3
sj,2009,21,2
sj,2009,22,12
sj,2009,23,11
sj,2009,24,8
sj,2009,25,12
sj,2009,26,10
sj,2009,27,41
sj,2009,28,26
sj,2009,29,41
sj,2009,30,32
sj,2009,31,31
sj,2009,32,53
sj,2009,33,27
sj,2009,34,56
sj,2009,35,50
sj,2009,36,45
sj,2009,37,37
sj,2009,38,19
sj,2009,39,33
sj,2009,40,58
sj,2009,41,58
sj,2009,42,63
sj,2009,43,32
sj,2009,44,35
sj,2009,45,17
sj,2009,46,17
sj,2009,47,25
sj,2009,48,24
sj,2009,49,24
sj,2009,50,27
sj,2009,51,17
sj,2009,52,22
sj,2010,53,2
sj,2010,1,17
sj,2010,2,17
sj,2010,3,15
sj,2010,4,16
sj,2010,5,15
sj,2010,6,13
sj,2010,7,12
sj,2010,8,12
sj,2010,9,15
sj,2010,10,10
sj,2010,11,5
sj,2010,12,8
sj,2010,13,12
sj,2010,14,8
sj,2010,15,6
sj,2010,16,6
sj,2010,17,6
sj,2010,18,15
sj,2010,19,13
sj,2010,20,12
sj,2010,21,12
sj,2010,22,32
sj,2010,23,52
sj,2010,24,34
sj,2010,25,19
sj,2010,26,19
sj,2010,27,58
sj,2010,28,48
sj,2010,29,18
sj,2010,30,20
sj,2010,31,38
sj,2010,32,60
sj,2010,33,44
sj,2010,34,45
sj,2010,35,104
sj,2010,36,62
sj,2010,37,58
sj,2010,38,27
sj,2010,39,31
sj,2010,40,46
sj,2010,41,45
sj,2010,42,31
sj,2010,43,34
sj,2010,44,29
sj,2010,45,24
sj,2010,46,16
sj,2010,47,22
sj,2010,48,9
sj,2010,49,11
sj,2010,50,16
sj,2010,51,11
sj,2011,52,9
sj,2011,1,18
sj,2011,2,14
sj,2011,3,14
sj,2011,4,17
sj,2011,5,17
sj,2011,6,12
sj,2011,7,10
sj,2011,8,12
sj,2011,9,13
sj,2011,10,9
sj,2011,11,7
sj,2011,12,5
sj,2011,13,7
sj,2011,14,5
sj,2011,15,6
sj,2011,16,6
sj,2011,17,6
sj,2011,18,3
sj,2011,19,8
sj,2011,20,6
sj,2011,21,4
sj,2011,22,14
sj,2011,23,5
sj,2011,24,34
sj,2011,25,98
sj,2011,26,42
sj,2011,27,17
sj,2011,28,19
sj,2011,29,17
sj,2011,30,47
sj,2011,31,21
sj,2011,32,91
sj,2011,33,38
sj,2011,34,97
sj,2011,35,39
sj,2011,36,37
sj,2011,37,43
sj,2011,38,20
sj,2011,39,23
sj,2011,40,36
sj,2011,41,47
sj,2011,42,21
sj,2011,43,29
sj,2011,44,24
sj,2011,45,22
sj,2011,46,20
sj,2011,47,29
sj,2011,48,29
sj,2011,49,14
sj,2011,50,15
sj,2011,51,11
sj,2012,52,7
sj,2012,1,15
sj,2012,2,16
sj,2012,3,16
sj,2012,4,16
sj,2012,5,15
sj,2012,6,12
sj,2012,7,10
sj,2012,8,11
sj,2012,9,10
sj,2012,10,9
sj,2012,11,7
sj,2012,12,1
sj,2012,13,8
sj,2012,14,8
sj,2012,15,5
sj,2012,16,7
sj,2012,17,6
sj,2012,18,10
sj,2012,19,4
sj,2012,20,10
sj,2012,21,11
sj,2012,22,12
sj,2012,23,9
sj,2012,24,22
sj,2012,25,55
sj,2012,26,38
sj,2012,27,28
sj,2012,28,14
sj,2012,29,20
sj,2012,30,15
sj,2012,31,25
sj,2012,32,40
sj,2012,33,33
sj,2012,34,44
sj,2012,35,28
sj,2012,36,53
sj,2012,37,54
sj,2012,38,51
sj,2012,39,46
sj,2012,40,37
sj,2012,41,34
sj,2012,42,42
sj,2012,43,36
sj,2012,44,48
sj,2012,45,45
sj,2012,46,32
sj,2012,47,28
sj,2012,48,29
sj,2012,49,23
sj,2012,50,4
sj,2012,51,9
sj,2013,1,18
sj,2013,2,15
sj,2013,3,15
sj,2013,4,16
sj,2013,5,14
sj,2013,6,10
sj,2013,7,10
sj,2013,8,14
sj,2013,9,11
sj,2013,10,8
sj,2013,11,6
sj,2013,12,7
sj,2013,13,7
sj,2013,14,8
sj,2013,15,12
sj,2013,16,11
sj,2013,17,7
iq,2010,26,6
iq,2010,27,4
iq,2010,28,6
iq,2010,29,11
iq,2010,30,5
iq,2010,31,5
iq,2010,32,6
iq,2010,33,4
iq,2010,34,2
iq,2010,35,10
iq,2010,36,6
iq,2010,37,5
iq,2010,38,6
iq,2010,39,4
iq,2010,40,29
iq,2010,41,9
iq,2010,42,10
iq,2010,43,11
iq,2010,44,13
iq,2010,45,11
iq,2010,46,12
iq,2010,47,13
iq,2010,48,8
iq,2010,49,11
iq,2010,50,11
iq,2010,51,5
iq,2011,52,5
iq,2011,1,15
iq,2011,2,13
iq,2011,3,13
iq,2011,4,13
iq,2011,5,14
iq,2011,6,12
iq,2011,7,12
iq,2011,8,12
iq,2011,9,10
iq,2011,10,9
iq,2011,11,9
iq,2011,12,8
iq,2011,13,8
iq,2011,14,7
iq,2011,15,7
iq,2011,16,8
iq,2011,17,6
iq,2011,18,7
iq,2011,19,5
iq,2011,20,9
iq,2011,21,7
iq,2011,22,7
iq,2011,23,9
iq,2011,24,7
iq,2011,25,7
iq,2011,26,6
iq,2011,27,6
iq,2011,28,5
iq,2011,29,6
iq,2011,30,5
iq,2011,31,5
iq,2011,32,4
iq,2011,33,5
iq,2011,34,4
iq,2011,35,6
iq,2011,36,4
iq,2011,37,6
iq,2011,38,6
iq,2011,39,10
iq,2011,40,12
iq,2011,41,12
iq,2011,42,12
iq,2011,43,13
iq,2011,44,11
iq,2011,45,12
iq,2011,46,17
iq,2011,47,12
iq,2011,48,12
iq,2011,49,13
iq,2011,50,14
iq,2011,51,12
iq,2012,52,6
iq,2012,1,15
iq,2012,2,13
iq,2012,3,16
iq,2012,4,12
iq,2012,5,16
iq,2012,6,12
iq,2012,7,13
iq,2012,8,11
iq,2012,9,11
iq,2012,10,10
iq,2012,11,7
iq,2012,12,7
iq,2012,13,9
iq,2012,14,8
iq,2012,15,4
iq,2012,16,7
iq,2012,17,6
iq,2012,18,7
iq,2012,19,5
iq,2012,20,6
iq,2012,21,5
iq,2012,22,5
iq,2012,23,5
iq,2012,24,5
iq,2012,25,5
iq,2012,26,5
iq,2012,27,4
iq,2012,28,5
iq,2012,29,7
iq,2012,30,6
iq,2012,31,5
iq,2012,32,8
iq,2012,33,6
iq,2012,34,6
iq,2012,35,7
iq,2012,36,7
iq,2012,37,5
iq,2012,38,6
iq,2012,39,11
iq,2012,40,12
iq,2012,41,13
iq,2012,42,11
iq,2012,43,12
iq,2012,44,11
iq,2012,45,11
iq,2012,46,12
iq,2012,47,43
iq,2012,48,13
iq,2012,49,12
iq,2012,50,16
iq,2012,51,8
iq,2013,1,13
iq,2013,2,14
iq,2013,3,13
iq,2013,4,14
iq,2013,5,17
iq,2013,6,12
iq,2013,7,13
iq,2013,8,11
iq,2013,9,10
iq,2013,10,9
iq,2013,11,6
iq,2013,12,7
iq,2013,13,6
iq,2013,14,8
iq,2013,15,6
iq,2013,16,6
iq,2013,17,7
iq,2013,18,4
iq,2013,19,6
iq,2013,20,7
iq,2013,21,6
iq,2013,22,6
iq,2013,23,5
iq,2013,24,4
iq,2013,25,6
iq,2013,26,5
