city,year,weekofyear,total_cases
sj,2008,18,8
sj,2008,19,8
sj,2008,20,7
sj,2008,21,14
sj,2008,22,12
sj,2008,23,13
sj,2008,24,11
sj,2008,25,7
sj,2008,26,19
sj,2008,27,25
sj,2008,28,24
sj,2008,29,20
sj,2008,30,28
sj,2008,31,27
sj,2008,32,53
sj,2008,33,37
sj,2008,34,32
sj,2008,35,63
sj,2008,36,100
sj,2008,37,61
sj,2008,38,67
sj,2008,39,51
sj,2008,40,45
sj,2008,41,50
sj,2008,42,40
sj,2008,43,24
sj,2008,44,33
sj,2008,45,35
sj,2008,46,40
sj,2008,47,19
sj,2008,48,24
sj,2008,49,19
sj,2008,50,10
sj,2008,51,12
sj,2008,52,9
sj,2009,1,16
sj,2009,2,22
sj,2009,3,21
sj,2009,4,15
sj,2009,5,17
sj,2009,6,10
sj,2009,7,10
sj,2009,8,12
sj,2009,9,13
sj,2009,10,3
sj,2009,11,6
sj,2009,12,3
sj,2009,13,-3
sj,2009,14,7
sj,2009,15,2
sj,2009,16,1
sj,2009,17,7
sj,2009,18,11
sj,2009,19,3
sj,2009,20,8
sj,2009,21,3
sj,2009,22,4
sj,2009,23,6
sj,2009,24,6
sj,2009,25,10
sj,2009,26,9
sj,2009,27,8
sj,2009,28,42
sj,2009,29,37
sj,2009,30,24
sj,2009,31,46
sj,2009,32,35
sj,2009,33,44
sj,2009,34,42
sj,2009,35,69
sj,2009,36,58
sj,2009,37,19
sj,2009,38,36
sj,2009,39,47
sj,2009,40,86
sj,2009,41,78
sj,2009,42,56
sj,2009,43,30
sj,2009,44,55
sj,2009,45,35
sj,2009,46,22
sj,2009,47,40
sj,2009,48,23
sj,2009,49,33
sj,2009,50,15
sj,2009,51,14
sj,2009,52,24
sj,2010,53,21
sj,2010,1,15
sj,2010,2,22
sj,2010,3,12
sj,2010,4,16
sj,2010,5,15
sj,2010,6,16
sj,2010,7,15
sj,2010,8,14
sj,2010,9,11
sj,2010,10,7
sj,2010,11,2
sj,2010,12,-1
sj,2010,13,5
sj,2010,14,6
sj,2010,15,4
sj,2010,16,4
sj,2010,17,10
sj,2010,18,17
sj,2010,19,9
sj,2010,20,19
sj,2010,21,13
sj,2010,22,44
sj,2010,23,44
sj,2010,24,37
sj,2010,25,29
sj,2010,26,33
sj,2010,27,60
sj,2010,28,81
sj,2010,29,36
sj,2010,30,42
sj,2010,31,50
sj,2010,32,84
sj,2010,33,94
sj,2010,34,98
sj,2010,35,94
sj,2010,36,71
sj,2010,37,94
sj,2010,38,92
sj,2010,39,57
sj,2010,40,52
sj,2010,41,83
sj,2010,42,56
sj,2010,43,67
sj,2010,44,51
sj,2010,45,28
sj,2010,46,26
sj,2010,47,17
sj,2010,48,24
sj,2010,49,24
sj,2010,50,14
sj,2010,51,11
sj,2011,52,5
sj,2011,1,19
sj,2011,2,23
sj,2011,3,18
sj,2011,4,15
sj,2011,5,12
sj,2011,6,13
sj,2011,7,14
sj,2011,8,9
sj,2011,9,7
sj,2011,10,3
sj,2011,11,5
sj,2011,12,1
sj,2011,13,5
sj,2011,14,4
sj,2011,15,5
sj,2011,16,1
sj,2011,17,4
sj,2011,18,9
sj,2011,19,2
sj,2011,20,2
sj,2011,21,10
sj,2011,22,29
sj,2011,23,15
sj,2011,24,34
sj,2011,25,49
sj,2011,26,49
sj,2011,27,23
sj,2011,28,36
sj,2011,29,36
sj,2011,30,44
sj,2011,31,26
sj,2011,32,48
sj,2011,33,57
sj,2011,34,58
sj,2011,35,49
sj,2011,36,36
sj,2011,37,25
sj,2011,38,24
sj,2011,39,20
sj,2011,40,35
sj,2011,41,44
sj,2011,42,27
sj,2011,43,22
sj,2011,44,42
sj,2011,45,28
sj,2011,46,25
sj,2011,47,21
sj,2011,48,27
sj,2011,49,14
sj,2011,50,33
sj,2011,51,9
sj,2012,52,6
sj,2012,1,18
sj,2012,2,22
sj,2012,3,13
sj,2012,4,15
sj,2012,5,11
sj,2012,6,8
sj,2012,7,9
sj,2012,8,8
sj,2012,9,10
sj,2012,10,9
sj,2012,11,6
sj,2012,12,5
sj,2012,13,4
sj,2012,14,2
sj,2012,15,3
sj,2012,16,8
sj,2012,17,0
sj,2012,18,4
sj,2012,19,7
sj,2012,20,1
sj,2012,21,3
sj,2012,22,6
sj,2012,23,15
sj,2012,24,20
sj,2012,25,32
sj,2012,26,23
sj,2012,27,17
sj,2012,28,27
sj,2012,29,25
sj,2012,30,33
sj,2012,31,31
sj,2012,32,15
sj,2012,33,41
sj,2012,34,33
sj,2012,35,31
sj,2012,36,40
sj,2012,37,53
sj,2012,38,60
sj,2012,39,55
sj,2012,40,60
sj,2012,41,20
sj,2012,42,24
sj,2012,43,46
sj,2012,44,64
sj,2012,45,35
sj,2012,46,38
sj,2012,47,33
sj,2012,48,17
sj,2012,49,16
sj,2012,50,16
sj,2012,51,4
sj,2013,1,20
sj,2013,2,17
sj,2013,3,15
sj,2013,4,11
sj,2013,5,16
sj,2013,6,16
sj,2013,7,9
sj,2013,8,7
sj,2013,9,7
sj,2013,10,5
sj,2013,11,5
sj,2013,12,0
sj,2013,13,1
sj,2013,14,1
