city,year,weekofyear,total_cases
sj,2008,18,4
sj,2008,19,5
sj,2008,20,21
sj,2008,21,15
sj,2008,22,3
sj,2008,23,26
sj,2008,24,13
sj,2008,25,11
sj,2008,26,88
sj,2008,27,11
sj,2008,28,30
sj,2008,29,6
sj,2008,30,10
sj,2008,31,7
sj,2008,32,81
sj,2008,33,10
sj,2008,34,22
sj,2008,35,6
sj,2008,36,26
sj,2008,37,49
sj,2008,38,5
sj,2008,39,163
sj,2008,40,4
sj,2008,41,45
sj,2008,42,50
sj,2008,43,13
sj,2008,44,22
sj,2008,45,13
sj,2008,46,6
sj,2008,47,12
sj,2008,48,8
sj,2008,49,24
sj,2008,50,19
sj,2008,51,5
sj,2008,52,41
sj,2009,1,62
sj,2009,2,5
sj,2009,3,59
sj,2009,4,149
sj,2009,5,15
sj,2009,6,15
sj,2009,7,18
sj,2009,8,10
sj,2009,9,44
sj,2009,10,10
sj,2009,11,32
sj,2009,12,10
sj,2009,13,14
sj,2009,14,56
sj,2009,15,47
sj,2009,16,58
sj,2009,17,16
sj,2009,18,13
sj,2009,19,60
sj,2009,20,19
sj,2009,21,44
sj,2009,22,80
sj,2009,23,10
sj,2009,24,21
sj,2009,25,43
sj,2009,26,26
sj,2009,27,3
sj,2009,28,3
sj,2009,29,4
sj,2009,30,7
sj,2009,31,35
sj,2009,32,8
sj,2009,33,8
sj,2009,34,18
sj,2009,35,5
sj,2009,36,17
sj,2009,37,15
sj,2009,38,41
sj,2009,39,9
sj,2009,40,56
sj,2009,41,5
sj,2009,42,35
sj,2009,43,38
sj,2009,44,19
sj,2009,45,5
sj,2009,46,38
sj,2009,47,16
sj,2009,48,12
sj,2009,49,4
sj,2009,50,37
sj,2009,51,4
sj,2009,52,7
sj,2010,53,9
sj,2010,1,21
sj,2010,2,4
sj,2010,3,12
sj,2010,4,49
sj,2010,5,18
sj,2010,6,11
sj,2010,7,12
sj,2010,8,95
sj,2010,9,10
sj,2010,10,3
sj,2010,11,8
sj,2010,12,15
sj,2010,13,10
sj,2010,14,3
sj,2010,15,9
sj,2010,16,110
sj,2010,17,22
sj,2010,18,64
sj,2010,19,42
sj,2010,20,25
sj,2010,21,11
sj,2010,22,9
sj,2010,23,8
sj,2010,24,54
sj,2010,25,11
sj,2010,26,42
sj,2010,27,36
sj,2010,28,12
sj,2010,29,13
sj,2010,30,68
sj,2010,31,4
sj,2010,32,34
sj,2010,33,15
sj,2010,34,37
sj,2010,35,68
sj,2010,36,53
sj,2010,37,10
sj,2010,38,28
sj,2010,39,34
sj,2010,40,3
sj,2010,41,16
sj,2010,42,11
sj,2010,43,42
sj,2010,44,14
sj,2010,45,7
sj,2010,46,20
sj,2010,47,35
sj,2010,48,36
sj,2010,49,9
sj,2010,50,6
sj,2010,51,6
sj,2011,52,14
sj,2011,1,50
sj,2011,2,30
sj,2011,3,51
sj,2011,4,14
sj,2011,5,101
sj,2011,6,29
sj,2011,7,16
sj,2011,8,32
sj,2011,9,10
sj,2011,10,33
sj,2011,11,16
sj,2011,12,21
sj,2011,13,8
sj,2011,14,3
sj,2011,15,4
sj,2011,16,5
sj,2011,17,7
sj,2011,18,13
sj,2011,19,17
sj,2011,20,51
sj,2011,21,52
sj,2011,22,12
sj,2011,23,29
sj,2011,24,4
sj,2011,25,20
sj,2011,26,6
sj,2011,27,60
sj,2011,28,119
sj,2011,29,17
sj,2011,30,72
sj,2011,31,64
sj,2011,32,23
sj,2011,33,32
sj,2011,34,7
sj,2011,35,110
sj,2011,36,64
sj,2011,37,2
sj,2011,38,4
sj,2011,39,4
sj,2011,40,62
sj,2011,41,7
sj,2011,42,11
sj,2011,43,11
sj,2011,44,7
sj,2011,45,13
sj,2011,46,33
sj,2011,47,13
sj,2011,48,33
sj,2011,49,19
sj,2011,50,103
sj,2011,51,13
sj,2012,52,9
sj,2012,1,12
sj,2012,2,20
sj,2012,3,13
sj,2012,4,6
sj,2012,5,10
sj,2012,6,9
sj,2012,7,43
sj,2012,8,13
sj,2012,9,23
sj,2012,10,8
sj,2012,11,13
sj,2012,12,52
sj,2012,13,3
sj,2012,14,11
sj,2012,15,58
sj,2012,16,4
sj,2012,17,7
sj,2012,18,49
sj,2012,19,21
sj,2012,20,79
sj,2012,21,4
sj,2012,22,7
sj,2012,23,12
sj,2012,24,161
sj,2012,25,37
sj,2012,26,31
sj,2012,27,36
sj,2012,28,39
sj,2012,29,12
sj,2012,30,16
sj,2012,31,52
sj,2012,32,8
sj,2012,33,46
sj,2012,34,50
sj,2012,35,22
sj,2012,36,13
sj,2012,37,147
sj,2012,38,15
sj,2012,39,10
sj,2012,40,26
sj,2012,41,9
sj,2012,42,8
sj,2012,43,21
sj,2012,44,27
sj,2012,45,3
sj,2012,46,25
sj,2012,47,54
sj,2012,48,14
sj,2012,49,44
sj,2012,50,3
sj,2012,51,25
sj,2013,1,27
sj,2013,2,41
sj,2013,3,9
sj,2013,4,12
sj,2013,5,56
sj,2013,6,13
sj,2013,7,9
sj,2013,8,91
sj,2013,9,12
sj,2013,10,17
sj,2013,11,15
sj,2013,12,22
sj,2013,13,14
sj,2013,14,4
sj,2013,15,12
sj,2013,16,100
sj,2013,17,5
iq,2010,26,50
iq,2010,27,36
iq,2010,28,6
iq,2010,29,15
iq,2010,30,14
iq,2010,31,38
iq,2010,32,12
iq,2010,33,26
iq,2010,34,32
iq,2010,35,19
iq,2010,36,72
iq,2010,37,6
iq,2010,38,13
iq,2010,39,60
iq,2010,40,34
iq,2010,41,58
iq,2010,42,8
iq,2010,43,8
iq,2010,44,20
iq,2010,45,50
iq,2010,46,36
iq,2010,47,68
iq,2010,48,8
iq,2010,49,10
iq,2010,50,10
iq,2010,51,5
iq,2011,52,43
iq,2011,1,23
iq,2011,2,90
iq,2011,3,8
iq,2011,4,12
iq,2011,5,2
iq,2011,6,89
iq,2011,7,9
iq,2011,8,15
iq,2011,9,9
iq,2011,10,13
iq,2011,11,9
iq,2011,12,14
iq,2011,13,12
iq,2011,14,12
iq,2011,15,46
