city,year,weekofyear,total_cases
sj,2008,18,8
sj,2008,19,7
sj,2008,20,15
sj,2008,21,16
sj,2008,22,15
sj,2008,23,21
sj,2008,24,13
sj,2008,25,14
sj,2008,26,14
sj,2008,27,15
sj,2008,28,16
sj,2008,29,17
sj,2008,30,20
sj,2008,31,22
sj,2008,32,41
sj,2008,33,59
sj,2008,34,33
sj,2008,35,30
sj,2008,36,128
sj,2008,37,78
sj,2008,38,35
sj,2008,39,54
sj,2008,40,97
sj,2008,41,39
sj,2008,42,70
sj,2008,43,39
sj,2008,44,38
sj,2008,45,32
sj,2008,46,32
sj,2008,47,37
sj,2008,48,35
sj,2008,49,49
sj,2008,50,34
sj,2008,51,73
sj,2008,52,21
sj,2009,1,26
sj,2009,2,20
sj,2009,3,28
sj,2009,4,23
sj,2009,5,38
sj,2009,6,13
sj,2009,7,18
sj,2009,8,17
sj,2009,9,14
sj,2009,10,12
sj,2009,11,12
sj,2009,12,10
sj,2009,13,10
sj,2009,14,11
sj,2009,15,8
sj,2009,16,12
sj,2009,17,12
sj,2009,18,9
sj,2009,19,8
sj,2009,20,13
sj,2009,21,9
sj,2009,22,11
sj,2009,23,10
sj,2009,24,14
sj,2009,25,12
sj,2009,26,12
sj,2009,27,17
sj,2009,28,24
sj,2009,29,17
sj,2009,30,20
sj,2009,31,34
sj,2009,32,42
sj,2009,33,34
sj,2009,34,55
sj,2009,35,63
sj,2009,36,87
sj,2009,37,42
sj,2009,38,55
sj,2009,39,46
sj,2009,40,87
sj,2009,41,94
sj,2009,42,97
sj,2009,43,30
sj,2009,44,73
sj,2009,45,49
sj,2009,46,37
sj,2009,47,51
sj,2009,48,41
sj,2009,49,44
sj,2009,50,26
sj,2009,51,44
sj,2009,52,56
sj,2010,53,18
sj,2010,1,44
sj,2010,2,26
sj,2010,3,39
sj,2010,4,28
sj,2010,5,23
sj,2010,6,20
sj,2010,7,20
sj,2010,8,23
sj,2010,9,19
sj,2010,10,23
sj,2010,11,16
sj,2010,12,16
sj,2010,13,20
sj,2010,14,13
sj,2010,15,8
sj,2010,16,10
sj,2010,17,19
sj,2010,18,14
sj,2010,19,10
sj,2010,20,14
sj,2010,21,12
sj,2010,22,39
sj,2010,23,37
sj,2010,24,38
sj,2010,25,41
sj,2010,26,48
sj,2010,27,54
sj,2010,28,42
sj,2010,29,44
sj,2010,30,40
sj,2010,31,45
sj,2010,32,74
sj,2010,33,58
sj,2010,34,108
sj,2010,35,108
sj,2010,36,138
sj,2010,37,64
sj,2010,38,37
sj,2010,39,34
sj,2010,40,38
sj,2010,41,74
sj,2010,42,40
sj,2010,43,45
sj,2010,44,52
sj,2010,45,56
sj,2010,46,53
sj,2010,47,52
sj,2010,48,28
sj,2010,49,32
sj,2010,50,26
sj,2010,51,23
sj,2011,52,44
sj,2011,1,26
sj,2011,2,44
sj,2011,3,29
sj,2011,4,30
sj,2011,5,23
sj,2011,6,19
sj,2011,7,15
sj,2011,8,14
sj,2011,9,16
sj,2011,10,10
sj,2011,11,12
sj,2011,12,13
sj,2011,13,13
sj,2011,14,17
sj,2011,15,13
sj,2011,16,13
sj,2011,17,6
sj,2011,18,11
sj,2011,19,9
sj,2011,20,22
sj,2011,21,17
sj,2011,22,17
sj,2011,23,18
sj,2011,24,45
sj,2011,25,37
sj,2011,26,23
sj,2011,27,41
sj,2011,28,35
sj,2011,29,15
sj,2011,30,46
sj,2011,31,26
sj,2011,32,112
sj,2011,33,38
sj,2011,34,183
sj,2011,35,51
sj,2011,36,37
sj,2011,37,55
sj,2011,38,34
sj,2011,39,40
sj,2011,40,46
sj,2011,41,42
sj,2011,42,36
sj,2011,43,27
sj,2011,44,27
sj,2011,45,29
sj,2011,46,34
sj,2011,47,46
sj,2011,48,42
sj,2011,49,42
sj,2011,50,79
sj,2011,51,30
sj,2012,52,40
sj,2012,1,31
sj,2012,2,25
sj,2012,3,23
sj,2012,4,26
sj,2012,5,22
sj,2012,6,18
sj,2012,7,13
sj,2012,8,17
sj,2012,9,11
sj,2012,10,11
sj,2012,11,12
sj,2012,12,10
sj,2012,13,11
sj,2012,14,13
sj,2012,15,10
sj,2012,16,13
sj,2012,17,11
sj,2012,18,13
sj,2012,19,13
sj,2012,20,18
sj,2012,21,10
sj,2012,22,15
sj,2012,23,19
sj,2012,24,19
sj,2012,25,36
sj,2012,26,27
sj,2012,27,16
sj,2012,28,15
sj,2012,29,18
sj,2012,30,38
sj,2012,31,23
sj,2012,32,39
sj,2012,33,59
sj,2012,34,43
sj,2012,35,34
sj,2012,36,47
sj,2012,37,90
sj,2012,38,90
sj,2012,39,68
sj,2012,40,48
sj,2012,41,35
sj,2012,42,56
sj,2012,43,43
sj,2012,44,62
sj,2012,45,78
sj,2012,46,49
sj,2012,47,41
sj,2012,48,26
sj,2012,49,41
sj,2012,50,35
sj,2012,51,29
sj,2013,1,33
sj,2013,2,30
sj,2013,3,21
sj,2013,4,20
sj,2013,5,28
sj,2013,6,18
sj,2013,7,18
sj,2013,8,14
sj,2013,9,11
sj,2013,10,19
sj,2013,11,14
sj,2013,12,8
sj,2013,13,15
sj,2013,14,13
sj,2013,15,17
sj,2013,16,12
sj,2013,17,9
iq,2010,26,6
iq,2010,27,3
iq,2010,28,7
iq,2010,29,4
iq,2010,30,3
iq,2010,31,3
iq,2010,32,5
iq,2010,33,1
iq,2010,34,1
iq,2010,35,8
iq,2010,36,4
iq,2010,37,3
iq,2010,38,14
iq,2010,39,5
iq,2010,40,17
iq,2010,41,6
iq,2010,42,11
iq,2010,43,12
iq,2010,44,11
