city,year,weekofyear,total_cases
sj,2008,18,6
sj,2008,19,4
sj,2008,20,13
sj,2008,21,15
sj,2008,22,14
sj,2008,23,20
sj,2008,24,11
sj,2008,25,13
sj,2008,26,13
sj,2008,27,14
sj,2008,28,16
sj,2008,29,16
sj,2008,30,19
sj,2008,31,23
sj,2008,32,46
sj,2008,33,68
sj,2008,34,36
sj,2008,35,32
sj,2008,36,151
sj,2008,37,90
sj,2008,38,38
sj,2008,39,62
sj,2008,40,114
sj,2008,41,42
sj,2008,42,80
sj,2008,43,43
sj,2008,44,42
sj,2008,45,34
sj,2008,46,34
sj,2008,47,41
sj,2008,48,39
sj,2008,49,55
sj,2008,50,36
sj,2008,51,84
sj,2008,52,21
sj,2009,1,27
sj,2009,2,20
sj,2009,3,30
sj,2009,4,24
sj,2009,5,42
sj,2009,6,12
sj,2009,7,17
sj,2009,8,17
sj,2009,9,13
sj,2009,10,11
sj,2009,11,11
sj,2009,12,8
sj,2009,13,8
sj,2009,14,9
sj,2009,15,6
sj,2009,16,10
sj,2009,17,10
sj,2009,18,6
sj,2009,19,6
sj,2009,20,12
sj,2009,21,7
sj,2009,22,9
sj,2009,23,8
sj,2009,24,12
sj,2009,25,11
sj,2009,26,10
sj,2009,27,17
sj,2009,28,25
sj,2009,29,17
sj,2009,30,20
sj,2009,31,37
sj,2009,32,47
sj,2009,33,37
sj,2009,34,63
sj,2009,35,73
sj,2009,36,101
sj,2009,37,46
sj,2009,38,61
sj,2009,39,52
sj,2009,40,101
sj,2009,41,109
sj,2009,42,114
sj,2009,43,32
sj,2009,44,84
sj,2009,45,55
sj,2009,46,40
sj,2009,47,57
sj,2009,48,46
sj,2009,49,49
sj,2009,50,27
sj,2009,51,50
sj,2009,52,65
sj,2010,53,17
sj,2010,1,49
sj,2010,2,27
sj,2010,3,43
sj,2010,4,29
sj,2010,5,24
sj,2010,6,19
sj,2010,7,20
sj,2010,8,24
sj,2010,9,18
sj,2010,10,24
sj,2010,11,16
sj,2010,12,15
sj,2010,13,20
sj,2010,14,11
sj,2010,15,5
sj,2010,16,8
sj,2010,17,19
sj,2010,18,12
sj,2010,19,8
sj,2010,20,13
sj,2010,21,10
sj,2010,22,43
sj,2010,23,41
sj,2010,24,42
sj,2010,25,45
sj,2010,26,55
sj,2010,27,61
sj,2010,28,46
sj,2010,29,49
sj,2010,30,44
sj,2010,31,51
sj,2010,32,85
sj,2010,33,66
sj,2010,34,114
sj,2010,35,127
sj,2010,36,163
sj,2010,37,74
sj,2010,38,41
sj,2010,39,37
sj,2010,40,42
sj,2010,41,84
sj,2010,42,45
sj,2010,43,51
sj,2010,44,58
sj,2010,45,64
sj,2010,46,60
sj,2010,47,59
sj,2010,48,29
sj,2010,49,34
sj,2010,50,27
sj,2010,51,24
sj,2011,52,50
sj,2011,1,28
sj,2011,2,49
sj,2011,3,29
sj,2011,4,32
sj,2011,5,24
sj,2011,6,18
sj,2011,7,14
sj,2011,8,13
sj,2011,9,16
sj,2011,10,8
sj,2011,11,11
sj,2011,12,11
sj,2011,13,12
sj,2011,14,16
sj,2011,15,12
sj,2011,16,11
sj,2011,17,4
sj,2011,18,9
sj,2011,19,8
sj,2011,20,22
sj,2011,21,16
sj,2011,22,16
sj,2011,23,17
sj,2011,24,50
sj,2011,25,41
sj,2011,26,24
sj,2011,27,46
sj,2011,28,38
sj,2011,29,14
sj,2011,30,51
sj,2011,31,27
sj,2011,32,132
