city,year,weekofyear,total_cases
sj,2008,18,4
sj,2008,19,4
sj,2008,20,6
sj,2008,21,11
sj,2008,22,10
sj,2008,23,13
sj,2008,24,7
sj,2008,25,10
sj,2008,26,9
sj,2008,27,9
sj,2008,28,11
sj,2008,29,13
sj,2008,30,10
sj,2008,31,16
sj,2008,32,28
sj,2008,33,51
sj,2008,34,39
sj,2008,35,24
sj,2008,36,107
sj,2008,37,57
sj,2008,38,25
sj,2008,39,41
sj,2008,40,67
sj,2008,41,29
sj,2008,42,53
sj,2008,43,24
sj,2008,44,27
sj,2008,45,26
sj,2008,46,22
sj,2008,47,28
sj,2008,48,24
sj,2008,49,29
sj,2008,50,17
sj,2008,51,42
sj,2008,52,14
sj,2009,1,20
sj,2009,2,15
sj,2009,3,21
sj,2009,4,17
sj,2009,5,26
sj,2009,6,8
sj,2009,7,14
sj,2009,8,12
sj,2009,9,11
sj,2009,10,7
sj,2009,11,10
sj,2009,12,6
sj,2009,13,4
sj,2009,14,7
sj,2009,15,4
sj,2009,16,8
sj,2009,17,5
sj,2009,18,5
sj,2009,19,9
sj,2009,20,7
sj,2009,21,5
sj,2009,22,5
sj,2009,23,6
sj,2009,24,10
sj,2009,25,9
sj,2009,26,8
sj,2009,27,12
sj,2009,28,15
sj,2009,29,14
sj,2009,30,15
sj,2009,31,20
sj,2009,32,32
sj,2009,33,24
sj,2009,34,35
sj,2009,35,47
sj,2009,36,73
sj,2009,37,30
sj,2009,38,41
sj,2009,39,34
sj,2009,40,63
sj,2009,41,58
sj,2009,42,46
sj,2009,43,18
sj,2009,44,47
sj,2009,45,42
sj,2009,46,29
sj,2009,47,44
sj,2009,48,25
sj,2009,49,24
sj,2009,50,21
sj,2009,51,29
sj,2009,52,40
sj,2010,53,16
sj,2010,1,25
sj,2010,2,19
sj,2010,3,22
sj,2010,4,19
sj,2010,5,17
sj,2010,6,14
sj,2010,7,14
sj,2010,8,15
sj,2010,9,12
sj,2010,10,16
sj,2010,11,9
sj,2010,12,7
sj,2010,13,10
sj,2010,14,8
sj,2010,15,4
sj,2010,16,4
sj,2010,17,14
sj,2010,18,7
sj,2010,19,7
sj,2010,20,9
sj,2010,21,7
sj,2010,22,34
sj,2010,23,29
sj,2010,24,23
sj,2010,25,29
sj,2010,26,34
sj,2010,27,39
sj,2010,28,27
sj,2010,29,33
sj,2010,30,27
sj,2010,31,35
sj,2010,32,61
sj,2010,33,45
sj,2010,34,68
sj,2010,35,97
sj,2010,36,96
sj,2010,37,61
sj,2010,38,22
sj,2010,39,23
sj,2010,40,29
sj,2010,41,52
sj,2010,42,21
sj,2010,43,32
sj,2010,44,52
sj,2010,45,38
sj,2010,46,35
sj,2010,47,34
sj,2010,48,18
sj,2010,49,22
sj,2010,50,17
sj,2010,51,14
sj,2011,52,24
sj,2011,1,18
sj,2011,2,31
sj,2011,3,16
sj,2011,4,20
sj,2011,5,17
sj,2011,6,14
sj,2011,7,10
sj,2011,8,12
sj,2011,9,14
sj,2011,10,7
sj,2011,11,9
sj,2011,12,6
sj,2011,13,7
sj,2011,14,11
sj,2011,15,5
sj,2011,16,6
sj,2011,17,4
sj,2011,18,5
sj,2011,19,6
sj,2011,20,13
sj,2011,21,9
sj,2011,22,12
sj,2011,23,13
sj,2011,24,34
sj,2011,25,22
sj,2011,26,17
sj,2011,27,30
sj,2011,28,24
sj,2011,29,11
sj,2011,30,31
sj,2011,31,16
sj,2011,32,69
sj,2011,33,25
sj,2011,34,119
sj,2011,35,38
sj,2011,36,24
sj,2011,37,27
sj,2011,38,26
sj,2011,39,29
sj,2011,40,23
sj,2011,41,28
sj,2011,42,27
sj,2011,43,19
sj,2011,44,22
sj,2011,45,22
sj,2011,46,22
sj,2011,47,35
sj,2011,48,29
sj,2011,49,35
sj,2011,50,73
sj,2011,51,18
sj,2012,52,24
sj,2012,1,21
sj,2012,2,17
sj,2012,3,18
sj,2012,4,18
sj,2012,5,15
sj,2012,6,15
sj,2012,7,10
sj,2012,8,13
sj,2012,9,6
sj,2012,10,8
sj,2012,11,8
sj,2012,12,10
sj,2012,13,6
sj,2012,14,7
sj,2012,15,4
sj,2012,16,6
sj,2012,17,7
sj,2012,18,11
sj,2012,19,8
sj,2012,20,13
sj,2012,21,5
sj,2012,22,9
sj,2012,23,10
sj,2012,24,13
sj,2012,25,31
sj,2012,26,31
sj,2012,27,9
sj,2012,28,13
sj,2012,29,14
sj,2012,30,28
sj,2012,31,16
sj,2012,32,29
sj,2012,33,40
sj,2012,34,26
sj,2012,35,25
sj,2012,36,26
sj,2012,37,69
sj,2012,38,51
sj,2012,39,46
sj,2012,40,35
sj,2012,41,26
sj,2012,42,36
sj,2012,43,29
sj,2012,44,46
sj,2012,45,50
sj,2012,46,38
sj,2012,47,27
sj,2012,48,20
sj,2012,49,29
sj,2012,50,24
sj,2012,51,19
sj,2013,1,23
sj,2013,2,21
sj,2013,3,14
sj,2013,4,14
sj,2013,5,18
sj,2013,6,16
sj,2013,7,11
sj,2013,8,11
sj,2013,9,5
sj,2013,10,12
sj,2013,11,10
sj,2013,12,7
sj,2013,13,8
sj,2013,14,6
sj,2013,15,10
sj,2013,16,7
sj,2013,17,4
iq,2010,26,4
iq,2010,27,4
iq,2010,28,4
iq,2010,29,4
iq,2010,30,4
iq,2010,31,4
iq,2010,32,4
iq,2010,33,4
iq,2010,34,4
iq,2010,35,4
iq,2010,36,4
iq,2010,37,4
iq,2010,38,5
iq,2010,39,4
iq,2010,40,9
iq,2010,41,4
iq,2010,42,5
iq,2010,43,5
iq,2010,44,6
iq,2010,45,9
iq,2010,46,7
iq,2010,47,8
iq,2010,48,7
iq,2010,49,5
iq,2010,50,8
iq,2010,51,4
iq,2011,52,13
iq,2011,1,12
iq,2011,2,6
iq,2011,3,5
iq,2011,4,4
iq,2011,5,4
iq,2011,6,6
iq,2011,7,11
iq,2011,8,7
iq,2011,9,8
iq,2011,10,4
iq,2011,11,4
iq,2011,12,4
iq,2011,13,4
iq,2011,14,4
iq,2011,15,4
iq,2011,16,4
iq,2011,17,4
iq,2011,18,4
iq,2011,19,4
iq,2011,20,4
iq,2011,21,7
iq,2011,22,4
iq,2011,23,4
iq,2011,24,4
iq,2011,25,4
iq,2011,26,4
iq,2011,27,4
iq,2011,28,4
iq,2011,29,4
iq,2011,30,4
iq,2011,31,4
iq,2011,32,4
iq,2011,33,4
iq,2011,34,4
iq,2011,35,4
iq,2011,36,4
iq,2011,37,4
iq,2011,38,4
iq,2011,39,4
iq,2011,40,4
iq,2011,41,4
iq,2011,42,5
iq,2011,43,10
iq,2011,44,6
iq,2011,45,6
iq,2011,46,7
iq,2011,47,7
iq,2011,48,4
iq,2011,49,9
iq,2011,50,15
iq,2011,51,12
iq,2012,52,5
iq,2012,1,12
iq,2012,2,4
iq,2012,3,13
iq,2012,4,4
iq,2012,5,4
iq,2012,6,9
iq,2012,7,12
iq,2012,8,6
iq,2012,9,4
iq,2012,10,4
iq,2012,11,4
iq,2012,12,4
iq,2012,13,4
iq,2012,14,4
iq,2012,15,4
iq,2012,16,4
iq,2012,17,4
iq,2012,18,4
iq,2012,19,4
iq,2012,20,4
iq,2012,21,4
iq,2012,22,4
iq,2012,23,4
iq,2012,24,4
iq,2012,25,4
iq,2012,26,4
iq,2012,27,4
iq,2012,28,4
iq,2012,29,4
iq,2012,30,4
iq,2012,31,4
iq,2012,32,4
iq,2012,33,4
iq,2012,34,4
iq,2012,35,4
iq,2012,36,4
iq,2012,37,4
iq,2012,38,4
iq,2012,39,4
iq,2012,40,5
iq,2012,41,4
iq,2012,42,6
iq,2012,43,9
iq,2012,44,5
iq,2012,45,8
iq,2012,46,13
iq,2012,47,16
iq,2012,48,8
iq,2012,49,6
iq,2012,50,4
iq,2012,51,4
iq,2013,1,7
iq,2013,2,4
iq,2013,3,4
iq,2013,4,7
iq,2013,5,10
iq,2013,6,6
iq,2013,7,5
iq,2013,8,9
iq,2013,9,5
iq,2013,10,4
iq,2013,11,4
iq,2013,12,5
iq,2013,13,4
iq,2013,14,4
iq,2013,15,4
iq,2013,16,4
iq,2013,17,4
iq,2013,18,4
iq,2013,19,4
iq,2013,20,4
iq,2013,21,4
iq,2013,22,4
iq,2013,23,4
iq,2013,24,4
iq,2013,25,4
iq,2013,26,4
