city,year,weekofyear,total_cases
sj,2008,18,3
sj,2008,19,4
sj,2008,20,7
sj,2008,21,11
sj,2008,22,9
sj,2008,23,13
sj,2008,24,9
sj,2008,25,10
sj,2008,26,10
sj,2008,27,8
sj,2008,28,9
sj,2008,29,13
sj,2008,30,10
sj,2008,31,17
sj,2008,32,31
sj,2008,33,60
sj,2008,34,40
sj,2008,35,27
sj,2008,36,88
sj,2008,37,65
sj,2008,38,29
sj,2008,39,39
sj,2008,40,69
sj,2008,41,27
sj,2008,42,57
sj,2008,43,26
sj,2008,44,29
sj,2008,45,25
sj,2008,46,22
sj,2008,47,24
sj,2008,48,26
sj,2008,49,34
sj,2008,50,19
sj,2008,51,43
sj,2008,52,13
sj,2009,1,21
sj,2009,2,16
sj,2009,3,19
sj,2009,4,19
sj,2009,5,31
sj,2009,6,9
sj,2009,7,12
sj,2009,8,11
sj,2009,9,11
sj,2009,10,8
sj,2009,11,12
sj,2009,12,6
sj,2009,13,5
sj,2009,14,8
sj,2009,15,6
sj,2009,16,8
sj,2009,17,5
sj,2009,18,4
sj,2009,19,9
sj,2009,20,8
sj,2009,21,5
sj,2009,22,7
sj,2009,23,6
sj,2009,24,9
sj,2009,25,9
sj,2009,26,8
sj,2009,27,12
sj,2009,28,14
sj,2009,29,13
sj,2009,30,15
sj,2009,31,23
sj,2009,32,41
sj,2009,33,26
sj,2009,34,35
sj,2009,35,49
sj,2009,36,70
sj,2009,37,31
sj,2009,38,50
sj,2009,39,37
sj,2009,40,66
sj,2009,41,56
sj,2009,42,63
sj,2009,43,20
sj,2009,44,53
sj,2009,45,35
sj,2009,46,32
sj,2009,47,49
sj,2009,48,33
sj,2009,49,29
sj,2009,50,19
sj,2009,51,35
sj,2009,52,47
sj,2010,53,15
sj,2010,1,34
sj,2010,2,18
sj,2010,3,26
sj,2010,4,17
sj,2010,5,20
sj,2010,6,16
sj,2010,7,14
sj,2010,8,16
sj,2010,9,11
sj,2010,10,18
sj,2010,11,10
sj,2010,12,7
sj,2010,13,12
sj,2010,14,8
sj,2010,15,5
sj,2010,16,6
sj,2010,17,14
sj,2010,18,8
sj,2010,19,7
sj,2010,20,9
sj,2010,21,8
sj,2010,22,44
sj,2010,23,31
sj,2010,24,27
sj,2010,25,35
sj,2010,26,38
sj,2010,27,43
sj,2010,28,36
sj,2010,29,38
sj,2010,30,33
sj,2010,31,35
sj,2010,32,55
sj,2010,33,54
sj,2010,34,68
sj,2010,35,100
sj,2010,36,93
sj,2010,37,58
sj,2010,38,27
sj,2010,39,25
sj,2010,40,30
sj,2010,41,54
sj,2010,42,20
sj,2010,43,29
sj,2010,44,56
sj,2010,45,39
sj,2010,46,37
sj,2010,47,38
sj,2010,48,20
sj,2010,49,26
sj,2010,50,18
sj,2010,51,16
sj,2011,52,34
sj,2011,1,21
sj,2011,2,38
sj,2011,3,15
sj,2011,4,20
sj,2011,5,18
sj,2011,6,11
sj,2011,7,9
sj,2011,8,11
sj,2011,9,18
sj,2011,10,7
sj,2011,11,9
sj,2011,12,7
sj,2011,13,7
sj,2011,14,9
sj,2011,15,7
sj,2011,16,6
sj,2011,17,4
sj,2011,18,5
sj,2011,19,7
sj,2011,20,12
sj,2011,21,9
sj,2011,22,12
sj,2011,23,12
sj,2011,24,43
sj,2011,25,31
sj,2011,26,18
sj,2011,27,34
sj,2011,28,26
sj,2011,29,11
sj,2011,30,36
sj,2011,31,18
sj,2011,32,98
sj,2011,33,19
sj,2011,34,147
sj,2011,35,46
sj,2011,36,29
sj,2011,37,28
sj,2011,38,26
sj,2011,39,31
sj,2011,40,27
sj,2011,41,28
sj,2011,42,27
sj,2011,43,15
sj,2011,44,22
sj,2011,45,25
sj,2011,46,27
sj,2011,47,36
sj,2011,48,37
sj,2011,49,38
sj,2011,50,67
sj,2011,51,19
sj,2012,52,32
sj,2012,1,21
sj,2012,2,13
sj,2012,3,20
sj,2012,4,19
sj,2012,5,15
sj,2012,6,12
sj,2012,7,8
sj,2012,8,12
sj,2012,9,7
sj,2012,10,7
sj,2012,11,9
sj,2012,12,12
sj,2012,13,7
sj,2012,14,7
sj,2012,15,5
sj,2012,16,6
sj,2012,17,7
sj,2012,18,11
sj,2012,19,9
sj,2012,20,13
sj,2012,21,7
sj,2012,22,8
sj,2012,23,11
sj,2012,24,15
sj,2012,25,33
sj,2012,26,32
sj,2012,27,11
sj,2012,28,12
sj,2012,29,13
sj,2012,30,29
sj,2012,31,19
sj,2012,32,36
sj,2012,33,46
sj,2012,34,29
sj,2012,35,29
sj,2012,36,28
sj,2012,37,76
sj,2012,38,61
sj,2012,39,55
sj,2012,40,43
sj,2012,41,29
sj,2012,42,40
sj,2012,43,30
sj,2012,44,48
sj,2012,45,62
sj,2012,46,39
sj,2012,47,31
sj,2012,48,22
sj,2012,49,32
sj,2012,50,26
sj,2012,51,21
sj,2013,1,27
sj,2013,2,20
sj,2013,3,14
sj,2013,4,15
sj,2013,5,20
sj,2013,6,17
sj,2013,7,9
sj,2013,8,10
sj,2013,9,7
sj,2013,10,12
sj,2013,11,11
sj,2013,12,5
sj,2013,13,9
sj,2013,14,8
sj,2013,15,10
sj,2013,16,6
sj,2013,17,5
iq,2010,26,3
iq,2010,27,3
iq,2010,28,3
iq,2010,29,3
iq,2010,30,3
iq,2010,31,3
iq,2010,32,3
iq,2010,33,3
iq,2010,34,3
iq,2010,35,5
iq,2010,36,3
iq,2010,37,3
iq,2010,38,7
iq,2010,39,3
iq,2010,40,11
iq,2010,41,3
iq,2010,42,6
iq,2010,43,5
iq,2010,44,4
iq,2010,45,8
