city,year,weekofyear,total_cases
sj,2008,18,4
sj,2008,19,4
sj,2008,20,6
sj,2008,21,14
sj,2008,22,9
sj,2008,23,14
sj,2008,24,7
sj,2008,25,9
sj,2008,26,9
sj,2008,27,9
sj,2008,28,12
sj,2008,29,12
sj,2008,30,15
sj,2008,31,16
sj,2008,32,26
sj,2008,33,40
sj,2008,34,31
sj,2008,35,23
sj,2008,36,117
sj,2008,37,55
sj,2008,38,23
sj,2008,39,38
sj,2008,40,64
sj,2008,41,24
sj,2008,42,58
sj,2008,43,27
sj,2008,44,24
sj,2008,45,24
sj,2008,46,22
sj,2008,47,26
sj,2008,48,25
sj,2008,49,36
sj,2008,50,22
sj,2008,51,51
sj,2008,52,15
sj,2009,1,19
sj,2009,2,14
sj,2009,3,21
sj,2009,4,17
sj,2009,5,26
sj,2009,6,9
sj,2009,7,15
sj,2009,8,13
sj,2009,9,11
sj,2009,10,7
sj,2009,11,8
sj,2009,12,6
sj,2009,13,5
sj,2009,14,6
sj,2009,15,4
sj,2009,16,5
sj,2009,17,6
sj,2009,18,5
sj,2009,19,5
sj,2009,20,9
sj,2009,21,5
sj,2009,22,6
sj,2009,23,5
sj,2009,24,9
sj,2009,25,8
sj,2009,26,9
sj,2009,27,12
sj,2009,28,16
sj,2009,29,14
sj,2009,30,16
sj,2009,31,22
sj,2009,32,25
sj,2009,33,21
sj,2009,34,31
sj,2009,35,44
sj,2009,36,77
sj,2009,37,24
sj,2009,38,40
sj,2009,39,31
sj,2009,40,66
sj,2009,41,67
sj,2009,42,53
sj,2009,43,19
sj,2009,44,36
sj,2009,45,29
sj,2009,46,25
sj,2009,47,38
sj,2009,48,26
sj,2009,49,25
sj,2009,50,20
sj,2009,51,29
sj,2009,52,37
sj,2010,53,15
sj,2010,1,26
sj,2010,2,19
sj,2010,3,25
sj,2010,4,20
sj,2010,5,17
sj,2010,6,14
sj,2010,7,14
sj,2010,8,15
sj,2010,9,12
sj,2010,10,16
sj,2010,11,9
sj,2010,12,9
sj,2010,13,10
sj,2010,14,7
sj,2010,15,4
sj,2010,16,4
sj,2010,17,15
sj,2010,18,8
sj,2010,19,6
sj,2010,20,9
sj,2010,21,7
sj,2010,22,28
sj,2010,23,26
sj,2010,24,24
sj,2010,25,25
sj,2010,26,29
sj,2010,27,37
sj,2010,28,26
sj,2010,29,29
sj,2010,30,25
sj,2010,31,32
sj,2010,32,55
sj,2010,33,48
sj,2010,34,68
sj,2010,35,96
sj,2010,36,104
sj,2010,37,60
sj,2010,38,23
sj,2010,39,23
sj,2010,40,27
sj,2010,41,49
sj,2010,42,27
sj,2010,43,28
sj,2010,44,47
sj,2010,45,34
sj,2010,46,31
sj,2010,47,37
sj,2010,48,17
sj,2010,49,22
sj,2010,50,18
sj,2010,51,18
sj,2011,52,26
sj,2011,1,19
sj,2011,2,30
sj,2011,3,19
sj,2011,4,19
sj,2011,5,17
sj,2011,6,15
sj,2011,7,9
sj,2011,8,9
sj,2011,9,11
sj,2011,10,6
sj,2011,11,5
sj,2011,12,8
sj,2011,13,9
sj,2011,14,11
sj,2011,15,6
sj,2011,16,7
sj,2011,17,4
sj,2011,18,7
sj,2011,19,5
sj,2011,20,14
sj,2011,21,10
sj,2011,22,10
sj,2011,23,14
sj,2011,24,28
sj,2011,25,24
sj,2011,26,17
sj,2011,27,26
sj,2011,28,23
sj,2011,29,10
sj,2011,30,28
sj,2011,31,17
sj,2011,32,69
sj,2011,33,25
sj,2011,34,121
sj,2011,35,32
sj,2011,36,24
sj,2011,37,37
sj,2011,38,25
sj,2011,39,27
sj,2011,40,34
sj,2011,41,25
sj,2011,42,24
sj,2011,43,20
sj,2011,44,24
sj,2011,45,22
sj,2011,46,23
sj,2011,47,29
sj,2011,48,27
sj,2011,49,36
sj,2011,50,68
sj,2011,51,21
sj,2012,52,27
sj,2012,1,22
sj,2012,2,15
sj,2012,3,17
sj,2012,4,18
sj,2012,5,16
sj,2012,6,15
sj,2012,7,8
sj,2012,8,14
sj,2012,9,6
sj,2012,10,7
sj,2012,11,8
sj,2012,12,7
sj,2012,13,6
sj,2012,14,8
sj,2012,15,5
sj,2012,16,7
sj,2012,17,6
sj,2012,18,9
sj,2012,19,8
sj,2012,20,14
sj,2012,21,5
sj,2012,22,8
sj,2012,23,11
sj,2012,24,12
sj,2012,25,27
sj,2012,26,25
sj,2012,27,11
sj,2012,28,11
sj,2012,29,13
sj,2012,30,25
sj,2012,31,16
sj,2012,32,23
sj,2012,33,34
sj,2012,34,23
sj,2012,35,24
sj,2012,36,26
sj,2012,37,66
sj,2012,38,59
sj,2012,39,48
sj,2012,40,33
sj,2012,41,24
sj,2012,42,38
sj,2012,43,26
sj,2012,44,44
sj,2012,45,49
sj,2012,46,31
sj,2012,47,27
sj,2012,48,21
sj,2012,49,27
sj,2012,50,25
sj,2012,51,19
sj,2013,1,24
sj,2013,2,22
sj,2013,3,13
sj,2013,4,14
sj,2013,5,20
sj,2013,6,14
sj,2013,7,13
sj,2013,8,9
sj,2013,9,7
sj,2013,10,13
sj,2013,11,8
sj,2013,12,4
sj,2013,13,10
sj,2013,14,10
sj,2013,15,11
sj,2013,16,7
sj,2013,17,5
iq,2010,26,4
iq,2010,27,4
iq,2010,28,4
iq,2010,29,4
iq,2010,30,4
iq,2010,31,4
iq,2010,32,4
iq,2010,33,4
iq,2010,34,4
iq,2010,35,4
iq,2010,36,4
iq,2010,37,4
iq,2010,38,6
iq,2010,39,4
iq,2010,40,8
iq,2010,41,4
iq,2010,42,5
iq,2010,43,7
iq,2010,44,6
iq,2010,45,9
iq,2010,46,5
iq,2010,47,8
iq,2010,48,6
iq,2010,49,4
iq,2010,50,12
iq,2010,51,4
iq,2011,52,15
iq,2011,1,11
iq,2011,2,9
iq,2011,3,6
iq,2011,4,6
iq,2011,5,5
iq,2011,6,4
iq,2011,7,9
iq,2011,8,7
iq,2011,9,8
iq,2011,10,4
iq,2011,11,5
iq,2011,12,4
iq,2011,13,4
iq,2011,14,4
iq,2011,15,4
iq,2011,16,4
iq,2011,17,4
iq,2011,18,4
iq,2011,19,4
iq,2011,20,4
iq,2011,21,6
iq,2011,22,4
iq,2011,23,4
iq,2011,24,4
iq,2011,25,4
iq,2011,26,4
iq,2011,27,4
iq,2011,28,4
iq,2011,29,4
iq,2011,30,4
iq,2011,31,4
iq,2011,32,4
iq,2011,33,4
iq,2011,34,4
iq,2011,35,4
iq,2011,36,4
iq,2011,37,4
iq,2011,38,4
iq,2011,39,4
iq,2011,40,4
iq,2011,41,4
iq,2011,42,7
iq,2011,43,8
iq,2011,44,5
iq,2011,45,5
iq,2011,46,7
iq,2011,47,5
iq,2011,48,5
iq,2011,49,6
iq,2011,50,14
iq,2011,51,13
iq,2012,52,4
iq,2012,1,10
iq,2012,2,4
iq,2012,3,11
iq,2012,4,4
iq,2012,5,4
iq,2012,6,10
iq,2012,7,9
iq,2012,8,7
iq,2012,9,4
iq,2012,10,4
iq,2012,11,4
iq,2012,12,4
iq,2012,13,4
iq,2012,14,4
iq,2012,15,4
iq,2012,16,5
iq,2012,17,4
iq,2012,18,4
iq,2012,19,4
iq,2012,20,5
iq,2012,21,4
iq,2012,22,4
iq,2012,23,4
iq,2012,24,4
iq,2012,25,4
iq,2012,26,4
iq,2012,27,4
iq,2012,28,4
iq,2012,29,4
iq,2012,30,4
iq,2012,31,4
iq,2012,32,4
iq,2012,33,4
iq,2012,34,4
iq,2012,35,4
iq,2012,36,4
iq,2012,37,4
iq,2012,38,4
iq,2012,39,4
iq,2012,40,5
iq,2012,41,5
iq,2012,42,4
iq,2012,43,8
iq,2012,44,6
iq,2012,45,6
iq,2012,46,12
iq,2012,47,17
iq,2012,48,8
iq,2012,49,7
iq,2012,50,7
iq,2012,51,4
iq,2013,1,7
iq,2013,2,6
iq,2013,3,6
iq,2013,4,8
iq,2013,5,11
iq,2013,6,5
iq,2013,7,6
iq,2013,8,7
iq,2013,9,6
iq,2013,10,5
iq,2013,11,5
iq,2013,12,5
iq,2013,13,4
iq,2013,14,5
iq,2013,15,4
iq,2013,16,4
iq,2013,17,4
iq,2013,18,4
iq,2013,19,4
iq,2013,20,4
iq,2013,21,4
iq,2013,22,4
iq,2013,23,4
iq,2013,24,4
iq,2013,25,4
iq,2013,26,4
