city,year,weekofyear,total_cases
sj,2008,18,6
sj,2008,19,6
sj,2008,20,8
sj,2008,21,10
sj,2008,22,9
sj,2008,23,13
sj,2008,24,7
sj,2008,25,8
sj,2008,26,8
sj,2008,27,9
sj,2008,28,10
sj,2008,29,11
sj,2008,30,13
sj,2008,31,15
sj,2008,32,25
sj,2008,33,34
sj,2008,34,21
sj,2008,35,19
sj,2008,36,69
sj,2008,37,43
sj,2008,38,22
sj,2008,39,32
sj,2008,40,53
sj,2008,41,23
sj,2008,42,39
sj,2008,43,24
sj,2008,44,23
sj,2008,45,20
sj,2008,46,20
sj,2008,47,23
sj,2008,48,22
sj,2008,49,29
sj,2008,50,21
sj,2008,51,41
sj,2008,52,13
sj,2009,1,17
sj,2009,2,13
sj,2009,3,18
sj,2009,4,15
sj,2009,5,23
sj,2009,6,8
sj,2009,7,11
sj,2009,8,11
sj,2009,9,8
sj,2009,10,7
sj,2009,11,7
sj,2009,12,6
sj,2009,13,6
sj,2009,14,7
sj,2009,15,6
sj,2009,16,7
sj,2009,17,7
sj,2009,18,6
sj,2009,19,6
sj,2009,20,8
sj,2009,21,6
sj,2009,22,7
sj,2009,23,6
sj,2009,24,8
sj,2009,25,7
sj,2009,26,7
sj,2009,27,11
sj,2009,28,16
sj,2009,29,11
sj,2009,30,13
sj,2009,31,21
sj,2009,32,25
sj,2009,33,21
sj,2009,34,32
sj,2009,35,36
sj,2009,36,48
sj,2009,37,25
sj,2009,38,31
sj,2009,39,27
sj,2009,40,48
sj,2009,41,51
sj,2009,42,53
sj,2009,43,19
sj,2009,44,41
sj,2009,45,29
sj,2009,46,23
sj,2009,47,29
sj,2009,48,25
sj,2009,49,26
sj,2009,50,17
sj,2009,51,27
sj,2009,52,33
sj,2010,53,11
sj,2010,1,26
sj,2010,2,17
sj,2010,3,24
sj,2010,4,18
sj,2010,5,15
sj,2010,6,13
sj,2010,7,13
sj,2010,8,15
sj,2010,9,12
sj,2010,10,15
sj,2010,11,10
sj,2010,12,10
sj,2010,13,13
sj,2010,14,7
sj,2010,15,6
sj,2010,16,6
sj,2010,17,13
sj,2010,18,8
sj,2010,19,6
sj,2010,20,9
sj,2010,21,7
sj,2010,22,24
sj,2010,23,23
sj,2010,24,23
sj,2010,25,25
sj,2010,26,29
sj,2010,27,31
sj,2010,28,25
sj,2010,29,26
sj,2010,30,24
sj,2010,31,27
sj,2010,32,41
sj,2010,33,34
sj,2010,34,54
sj,2010,35,59
sj,2010,36,74
sj,2010,37,37
sj,2010,38,23
sj,2010,39,21
sj,2010,40,23
sj,2010,41,41
sj,2010,42,24
sj,2010,43,27
sj,2010,44,30
sj,2010,45,32
sj,2010,46,31
sj,2010,47,30
sj,2010,48,18
sj,2010,49,20
sj,2010,50,17
sj,2010,51,15
sj,2011,52,27
sj,2011,1,17
sj,2011,2,26
sj,2011,3,18
sj,2011,4,19
sj,2011,5,15
sj,2011,6,12
sj,2011,7,9
sj,2011,8,9
sj,2011,9,10
sj,2011,10,6
sj,2011,11,7
sj,2011,12,7
sj,2011,13,8
sj,2011,14,10
sj,2011,15,8
sj,2011,16,7
sj,2011,17,6
sj,2011,18,6
sj,2011,19,6
sj,2011,20,14
sj,2011,21,11
sj,2011,22,11
sj,2011,23,11
sj,2011,24,27
sj,2011,25,23
sj,2011,26,15
sj,2011,27,25
sj,2011,28,22
sj,2011,29,9
sj,2011,30,27
sj,2011,31,17
sj,2011,32,61
sj,2011,33,23
sj,2011,34,96
sj,2011,35,30
sj,2011,36,23
sj,2011,37,32
sj,2011,38,22
sj,2011,39,24
sj,2011,40,27
sj,2011,41,25
sj,2011,42,23
sj,2011,43,18
sj,2011,44,18
sj,2011,45,19
sj,2011,46,21
sj,2011,47,27
sj,2011,48,25
sj,2011,49,26
sj,2011,50,44
sj,2011,51,19
sj,2012,52,24
sj,2012,1,20
sj,2012,2,15
sj,2012,3,15
sj,2012,4,17
sj,2012,5,14
sj,2012,6,12
sj,2012,7,8
sj,2012,8,10
sj,2012,9,6
sj,2012,10,7
sj,2012,11,7
sj,2012,12,6
sj,2012,13,6
sj,2012,14,7
sj,2012,15,6
sj,2012,16,8
sj,2012,17,7
sj,2012,18,8
sj,2012,19,8
sj,2012,20,11
sj,2012,21,6
sj,2012,22,9
sj,2012,23,12
sj,2012,24,12
sj,2012,25,22
sj,2012,26,18
sj,2012,27,10
sj,2012,28,9
sj,2012,29,11
sj,2012,30,23
sj,2012,31,15
sj,2012,32,24
sj,2012,33,34
sj,2012,34,26
sj,2012,35,21
sj,2012,36,28
sj,2012,37,49
sj,2012,38,49
sj,2012,39,38
sj,2012,40,28
sj,2012,41,22
sj,2012,42,32
sj,2012,43,26
sj,2012,44,35
sj,2012,45,44
sj,2012,46,29
sj,2012,47,25
sj,2012,48,17
sj,2012,49,25
sj,2012,50,22
sj,2012,51,19
sj,2013,1,21
sj,2013,2,19
sj,2013,3,13
sj,2013,4,13
sj,2013,5,18
sj,2013,6,12
sj,2013,7,12
sj,2013,8,8
sj,2013,9,7
sj,2013,10,13
sj,2013,11,8
sj,2013,12,6
sj,2013,13,9
sj,2013,14,8
sj,2013,15,11
sj,2013,16,7
sj,2013,17,6
iq,2010,26,6
iq,2010,27,6
iq,2010,28,6
iq,2010,29,6
iq,2010,30,6
iq,2010,31,6
iq,2010,32,6
iq,2010,33,6
iq,2010,34,6
iq,2010,35,6
iq,2010,36,6
iq,2010,37,6
iq,2010,38,9
iq,2010,39,6
iq,2010,40,11
iq,2010,41,6
iq,2010,42,6
iq,2010,43,7
iq,2010,44,7
iq,2010,45,9
iq,2010,46,6
iq,2010,47,7
iq,2010,48,7
iq,2010,49,6
iq,2010,50,11
iq,2010,51,6
iq,2011,52,13
iq,2011,1,11
iq,2011,2,8
iq,2011,3,6
iq,2011,4,6
iq,2011,5,6
iq,2011,6,6
iq,2011,7,8
iq,2011,8,6
iq,2011,9,9
iq,2011,10,6
iq,2011,11,6
iq,2011,12,6
iq,2011,13,6
