city,year,weekofyear,total_cases
sj,2008,18,32
sj,2008,19,22
sj,2008,20,29
sj,2008,21,31
sj,2008,22,35
sj,2008,23,32
sj,2008,24,24
sj,2008,25,37
sj,2008,26,34
sj,2008,27,31
sj,2008,28,28
sj,2008,29,33
sj,2008,30,46
sj,2008,31,35
sj,2008,32,36
sj,2008,33,43
sj,2008,34,43
sj,2008,35,38
sj,2008,36,47
sj,2008,37,61
sj,2008,38,42
sj,2008,39,42
sj,2008,40,46
sj,2008,41,39
sj,2008,42,44
sj,2008,43,38
sj,2008,44,37
sj,2008,45,39
sj,2008,46,35
sj,2008,47,39
sj,2008,48,38
sj,2008,49,35
sj,2008,50,34
sj,2008,51,40
sj,2008,52,32
sj,2009,1,25
sj,2009,2,6
sj,2009,3,12
sj,2009,4,21
sj,2009,5,19
sj,2009,6,15
sj,2009,7,22
sj,2009,8,22
sj,2009,9,21
sj,2009,10,14
sj,2009,11,29
sj,2009,12,16
sj,2009,13,18
sj,2009,14,21
sj,2009,15,21
sj,2009,16,21
sj,2009,17,29
sj,2009,18,27
sj,2009,19,23
sj,2009,20,29
sj,2009,21,27
sj,2009,22,27
sj,2009,23,36
sj,2009,24,34
sj,2009,25,35
sj,2009,26,35
sj,2009,27,35
sj,2009,28,39
sj,2009,29,37
sj,2009,30,36
sj,2009,31,39
sj,2009,32,35
sj,2009,33,40
sj,2009,34,39
sj,2009,35,43
sj,2009,36,45
sj,2009,37,37
sj,2009,38,47
sj,2009,39,46
sj,2009,40,41
sj,2009,41,44
sj,2009,42,47
sj,2009,43,39
sj,2009,44,46
sj,2009,45,38
sj,2009,46,30
sj,2009,47,40
sj,2009,48,45
sj,2009,49,39
sj,2009,50,35
sj,2009,51,43
sj,2009,52,40
sj,2010,53,46
sj,2010,1,20
sj,2010,2,19
sj,2010,3,20
sj,2010,4,18
sj,2010,5,13
sj,2010,6,21
sj,2010,7,16
sj,2010,8,25
sj,2010,9,29
sj,2010,10,29
sj,2010,11,26
sj,2010,12,21
sj,2010,13,20
sj,2010,14,31
sj,2010,15,18
sj,2010,16,33
sj,2010,17,30
sj,2010,18,35
sj,2010,19,23
sj,2010,20,31
sj,2010,21,31
sj,2010,22,42
sj,2010,23,32
sj,2010,24,31
sj,2010,25,34
sj,2010,26,31
sj,2010,27,32
sj,2010,28,39
sj,2010,29,38
sj,2010,30,35
sj,2010,31,32
sj,2010,32,46
sj,2010,33,35
sj,2010,34,44
sj,2010,35,40
sj,2010,36,51
sj,2010,37,38
sj,2010,38,44
sj,2010,39,37
sj,2010,40,42
sj,2010,41,48
sj,2010,42,43
sj,2010,43,38
sj,2010,44,44
sj,2010,45,47
sj,2010,46,37
sj,2010,47,31
sj,2010,48,31
sj,2010,49,34
sj,2010,50,34
sj,2010,51,40
sj,2011,52,35
sj,2011,1,9
sj,2011,2,21
sj,2011,3,12
sj,2011,4,12
sj,2011,5,11
sj,2011,6,15
sj,2011,7,12
sj,2011,8,14
sj,2011,9,13
sj,2011,10,10
sj,2011,11,14
sj,2011,12,20
sj,2011,13,22
sj,2011,14,30
sj,2011,15,22
sj,2011,16,22
sj,2011,17,16
sj,2011,18,25
sj,2011,19,21
sj,2011,20,46
sj,2011,21,35
sj,2011,22,27
sj,2011,23,26
sj,2011,24,49
sj,2011,25,37
sj,2011,26,38
sj,2011,27,34
sj,2011,28,37
sj,2011,29,38
sj,2011,30,38
sj,2011,31,34
sj,2011,32,36
sj,2011,33,43
sj,2011,34,44
sj,2011,35,38
sj,2011,36,42
sj,2011,37,50
sj,2011,38,36
sj,2011,39,41
sj,2011,40,42
sj,2011,41,41
sj,2011,42,39
sj,2011,43,33
sj,2011,44,35
sj,2011,45,40
sj,2011,46,37
sj,2011,47,39
sj,2011,48,36
sj,2011,49,29
sj,2011,50,38
sj,2011,51,36
sj,2012,52,38
sj,2012,1,16
sj,2012,2,10
sj,2012,3,12
sj,2012,4,12
sj,2012,5,10
sj,2012,6,10
sj,2012,7,16
sj,2012,8,14
sj,2012,9,16
sj,2012,10,18
sj,2012,11,17
sj,2012,12,17
sj,2012,13,23
sj,2012,14,28
sj,2012,15,28
sj,2012,16,42
sj,2012,17,31
sj,2012,18,34
sj,2012,19,27
sj,2012,20,26
sj,2012,21,30
sj,2012,22,27
sj,2012,23,34
sj,2012,24,33
sj,2012,25,39
sj,2012,26,40
sj,2012,27,38
sj,2012,28,36
sj,2012,29,34
sj,2012,30,34
sj,2012,31,36
sj,2012,32,40
sj,2012,33,40
sj,2012,34,40
sj,2012,35,35
sj,2012,36,36
sj,2012,37,40
sj,2012,38,40
sj,2012,39,41
sj,2012,40,44
sj,2012,41,40
sj,2012,42,49
sj,2012,43,45
sj,2012,44,43
sj,2012,45,47
sj,2012,46,46
sj,2012,47,39
sj,2012,48,35
sj,2012,49,40
sj,2012,50,39
sj,2012,51,35
sj,2013,1,11
sj,2013,2,12
sj,2013,3,8
sj,2013,4,9
sj,2013,5,18
sj,2013,6,13
sj,2013,7,17
sj,2013,8,18
sj,2013,9,16
sj,2013,10,24
sj,2013,11,23
sj,2013,12,19
sj,2013,13,28
sj,2013,14,31
sj,2013,15,25
sj,2013,16,25
sj,2013,17,24
iq,2010,26,1
iq,2010,27,0
iq,2010,28,11
iq,2010,29,2
iq,2010,30,-4
iq,2010,31,2
iq,2010,32,8
iq,2010,33,-2
iq,2010,34,-1
iq,2010,35,12
iq,2010,36,13
iq,2010,37,7
iq,2010,38,19
iq,2010,39,9
iq,2010,40,27
iq,2010,41,9
iq,2010,42,7
iq,2010,43,21
iq,2010,44,22
iq,2010,45,31
iq,2010,46,18
iq,2010,47,27
iq,2010,48,18
iq,2010,49,24
iq,2010,50,25
iq,2010,51,21
iq,2011,52,40
iq,2011,1,2
iq,2011,2,5
iq,2011,3,-4
iq,2011,4,-2
iq,2011,5,-1
iq,2011,6,-6
iq,2011,7,11
iq,2011,8,-2
iq,2011,9,12
iq,2011,10,5
iq,2011,11,10
iq,2011,12,9
iq,2011,13,6
iq,2011,14,7
iq,2011,15,15
iq,2011,16,18
iq,2011,17,8
iq,2011,18,12
iq,2011,19,5
iq,2011,20,4
iq,2011,21,1
iq,2011,22,8
iq,2011,23,6
iq,2011,24,14
iq,2011,25,12
iq,2011,26,11
iq,2011,27,-3
iq,2011,28,7
iq,2011,29,4
iq,2011,30,0
iq,2011,31,8
iq,2011,32,9
iq,2011,33,10
iq,2011,34,8
iq,2011,35,1
iq,2011,36,6
iq,2011,37,5
iq,2011,38,16
iq,2011,39,15
iq,2011,40,18
iq,2011,41,10
iq,2011,42,17
iq,2011,43,21
iq,2011,44,17
iq,2011,45,16
iq,2011,46,31
iq,2011,47,20
iq,2011,48,23
iq,2011,49,19
iq,2011,50,26
iq,2011,51,32
iq,2012,52,22
iq,2012,1,10
iq,2012,2,0
iq,2012,3,1
iq,2012,4,-6
iq,2012,5,-6
iq,2012,6,12
iq,2012,7,1
iq,2012,8,-2
iq,2012,9,-2
iq,2012,10,2
iq,2012,11,-1
iq,2012,12,7
iq,2012,13,0
